1023k  1.83.124.192:8888
1017k  36.46.67.207:4022
1006k  36.46.66.206:4022
950k  36.46.66.44:4022
945k  36.46.99.160:8010
900k  36.46.99.200:8012
893k  36.46.99.200:8010
889k  36.46.99.160:8009
881k  36.46.99.200:8009
877k  36.46.99.160:8009
873k  36.46.99.200:8025
859k  36.46.99.160:8025
810k  36.46.99.160:8012
